,year,district,aq
0,2017,Stadt München,134.5
1,2017,Altstadt - Lehel,161.3
2,2017,Ludwigsvorstadt - Isarvorstadt,107.2
3,2017,Maxvorstadt,138.7
4,2017,Schwabing - West,148.6
5,2017,Au - Haidhausen,112.1
6,2017,Sendling,127.8
7,2017,Sendling - Westpark,141.6
8,2017,Schwanthalerhöhe,101.5
9,2017,Neuhausen - Nymphenburg,134.9
10,2017,Moosach,138.1
11,2017,Milbertshofen - Am Hart,122.5
12,2017,Schwabing - Freimann,118.4
13,2017,Bogenhausen,155.8
14,2017,Berg am Laim,126.5
15,2017,Trudering - Riem,87.4
16,2017,Ramersdorf - Perlach,141.3
17,2017,Obergiesing - Fasangarten,122.8
18,2017,Untergiesing - Harlaching,161.9
19,2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,162.5
20,2017,Hadern,176.4
21,2017,Pasing - Obermenzing,134.8
22,2017,Aubing - Lochhausen - Langwied,129.5
23,2017,Allach - Untermenzing,128.5
24,2017,Feldmoching - Hasenbergl,122.6
25,2017,Laim,172.5
26,2016,Stadt München,137.5
27,2016,Altstadt - Lehel,169.6
28,2016,Ludwigsvorstadt - Isarvorstadt,106.4
29,2016,Maxvorstadt,143.8
30,2016,Schwabing - West,149.1
31,2016,Au - Haidhausen,114.6
32,2016,Sendling,129.9
33,2016,Sendling - Westpark,149.1
34,2016,Schwanthalerhöhe,102.4
35,2016,Neuhausen - Nymphenburg,137.0
36,2016,Moosach,140.7
37,2016,Milbertshofen - Am Hart,124.1
38,2016,Schwabing - Freimann,123.4
39,2016,Bogenhausen,157.6
40,2016,Berg am Laim,129.8
41,2016,Trudering - Riem,89.3
42,2016,Ramersdorf - Perlach,145.8
43,2016,Obergiesing - Fasangarten,126.3
44,2016,Untergiesing - Harlaching,165.4
45,2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,166.3
46,2016,Hadern,174.7
47,2016,Pasing - Obermenzing,135.2
48,2016,Aubing - Lochhausen - Langwied,136.2
49,2016,Allach - Untermenzing,131.1
50,2016,Feldmoching - Hasenbergl,125.8
51,2016,Laim,179.0
52,2015,Stadt München,140.3
53,2015,Altstadt - Lehel,173.6
54,2015,Ludwigsvorstadt - Isarvorstadt,108.2
55,2015,Maxvorstadt,142.2
56,2015,Schwabing - West,150.5
57,2015,Au - Haidhausen,115.6
58,2015,Sendling,130.3
59,2015,Sendling - Westpark,154.7
60,2015,Schwanthalerhöhe,100.0
61,2015,Neuhausen - Nymphenburg,138.0
62,2015,Moosach,145.8
63,2015,Milbertshofen - Am Hart,124.7
64,2015,Schwabing - Freimann,129.6
65,2015,Bogenhausen,161.6
66,2015,Berg am Laim,132.7
67,2015,Trudering - Riem,89.6
68,2015,Ramersdorf - Perlach,148.4
69,2015,Obergiesing - Fasangarten,128.8
70,2015,Untergiesing - Harlaching,167.8
71,2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,174.1
72,2015,Hadern,173.7
73,2015,Pasing - Obermenzing,137.3
74,2015,Aubing - Lochhausen - Langwied,144.3
75,2015,Allach - Untermenzing,134.6
76,2015,Feldmoching - Hasenbergl,128.3
77,2015,Laim,187.3
78,2014,Stadt München,143.1
79,2014,Altstadt - Lehel,173.7
80,2014,Ludwigsvorstadt - Isarvorstadt,111.5
81,2014,Maxvorstadt,150.1
82,2014,Schwabing - West,158.4
83,2014,Au - Haidhausen,117.7
84,2014,Sendling,130.0
85,2014,Sendling - Westpark,161.9
86,2014,Schwanthalerhöhe,99.3
87,2014,Neuhausen - Nymphenburg,139.7
88,2014,Moosach,147.8
89,2014,Milbertshofen - Am Hart,123.5
90,2014,Schwabing - Freimann,138.2
91,2014,Bogenhausen,165.8
92,2014,Berg am Laim,136.0
93,2014,Trudering - Riem,88.8
94,2014,Ramersdorf - Perlach,149.1
95,2014,Obergiesing - Fasangarten,135.9
96,2014,Untergiesing - Harlaching,169.6
97,2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,180.5
98,2014,Hadern,172.7
99,2014,Pasing - Obermenzing,138.7
100,2014,Aubing - Lochhausen - Langwied,148.8
101,2014,Allach - Untermenzing,135.1
102,2014,Feldmoching - Hasenbergl,131.9
103,2014,Laim,188.9
104,2013,Stadt München,144.3
105,2013,Altstadt - Lehel,174.3
106,2013,Ludwigsvorstadt - Isarvorstadt,115.6
107,2013,Maxvorstadt,151.1
108,2013,Schwabing - West,164.8
109,2013,Au - Haidhausen,118.6
110,2013,Sendling,129.3
111,2013,Sendling - Westpark,165.4
112,2013,Schwanthalerhöhe,100.0
113,2013,Neuhausen - Nymphenburg,140.6
114,2013,Moosach,149.0
115,2013,Milbertshofen - Am Hart,123.1
116,2013,Schwabing - Freimann,142.0
117,2013,Bogenhausen,168.7
118,2013,Berg am Laim,140.2
119,2013,Trudering - Riem,86.5
120,2013,Ramersdorf - Perlach,149.5
121,2013,Obergiesing - Fasangarten,138.2
122,2013,Untergiesing - Harlaching,172.4
123,2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,182.3
124,2013,Hadern,173.3
125,2013,Pasing - Obermenzing,138.2
126,2013,Aubing - Lochhausen - Langwied,148.1
127,2013,Allach - Untermenzing,135.8
128,2013,Feldmoching - Hasenbergl,131.6
129,2013,Laim,188.8
130,2012,Stadt München,145.0
131,2012,Altstadt - Lehel,177.4
132,2012,Ludwigsvorstadt - Isarvorstadt,118.1
133,2012,Maxvorstadt,154.6
134,2012,Schwabing - West,167.0
135,2012,Au - Haidhausen,120.2
136,2012,Sendling,128.8
137,2012,Sendling - Westpark,168.0
138,2012,Schwanthalerhöhe,99.4
139,2012,Neuhausen - Nymphenburg,142.7
140,2012,Moosach,149.2
141,2012,Milbertshofen - Am Hart,120.5
142,2012,Schwabing - Freimann,141.3
143,2012,Bogenhausen,168.7
144,2012,Berg am Laim,143.0
145,2012,Trudering - Riem,84.9
146,2012,Ramersdorf - Perlach,147.7
147,2012,Obergiesing - Fasangarten,142.8
148,2012,Untergiesing - Harlaching,176.4
149,2012,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,189.4
150,2012,Hadern,172.4
151,2012,Pasing - Obermenzing,138.4
152,2012,Aubing - Lochhausen - Langwied,148.7
153,2012,Allach - Untermenzing,135.5
154,2012,Feldmoching - Hasenbergl,131.7
155,2012,Laim,188.9
156,2011,Stadt München,145.0
157,2011,Altstadt - Lehel,181.0
158,2011,Ludwigsvorstadt - Isarvorstadt,119.0
159,2011,Maxvorstadt,159.9
160,2011,Schwabing - West,169.8
161,2011,Au - Haidhausen,124.0
162,2011,Sendling,129.2
163,2011,Sendling - Westpark,167.2
164,2011,Schwanthalerhöhe,98.5
165,2011,Neuhausen - Nymphenburg,144.5
166,2011,Moosach,147.6
167,2011,Milbertshofen - Am Hart,118.7
168,2011,Schwabing - Freimann,141.3
169,2011,Bogenhausen,166.5
170,2011,Berg am Laim,144.5
171,2011,Trudering - Riem,82.1
172,2011,Ramersdorf - Perlach,144.3
173,2011,Obergiesing - Fasangarten,141.5
174,2011,Untergiesing - Harlaching,176.9
175,2011,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,192.0
176,2011,Hadern,170.4
177,2011,Pasing - Obermenzing,140.0
178,2011,Aubing - Lochhausen - Langwied,148.7
179,2011,Allach - Untermenzing,138.3
180,2011,Feldmoching - Hasenbergl,132.3
181,2011,Laim,189.0
182,2010,Stadt München,146.0
183,2010,Altstadt - Lehel,185.4
184,2010,Ludwigsvorstadt - Isarvorstadt,120.6
185,2010,Maxvorstadt,160.0
186,2010,Schwabing - West,172.0
187,2010,Au - Haidhausen,126.3
188,2010,Sendling,127.8
189,2010,Sendling - Westpark,171.0
190,2010,Schwanthalerhöhe,98.2
191,2010,Neuhausen - Nymphenburg,148.3
192,2010,Moosach,143.4
193,2010,Milbertshofen - Am Hart,117.5
194,2010,Schwabing - Freimann,143.8
195,2010,Bogenhausen,164.5
196,2010,Berg am Laim,146.6
197,2010,Trudering - Riem,82.9
198,2010,Ramersdorf - Perlach,140.9
199,2010,Obergiesing - Fasangarten,145.0
200,2010,Untergiesing - Harlaching,183.2
201,2010,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,195.3
202,2010,Hadern,168.9
203,2010,Pasing - Obermenzing,142.1
204,2010,Aubing - Lochhausen - Langwied,151.5
205,2010,Allach - Untermenzing,139.5
206,2010,Feldmoching - Hasenbergl,131.9
207,2010,Laim,194.0
208,2009,Stadt München,148.0
209,2009,Altstadt - Lehel,195.8
210,2009,Ludwigsvorstadt - Isarvorstadt,122.5
211,2009,Maxvorstadt,160.0
212,2009,Schwabing - West,176.6
213,2009,Au - Haidhausen,130.6
214,2009,Sendling,128.1
215,2009,Sendling - Westpark,172.9
216,2009,Schwanthalerhöhe,98.7
217,2009,Neuhausen - Nymphenburg,154.4
218,2009,Moosach,143.3
219,2009,Milbertshofen - Am Hart,118.9
220,2009,Schwabing - Freimann,149.3
221,2009,Bogenhausen,164.2
222,2009,Berg am Laim,147.3
223,2009,Trudering - Riem,84.4
224,2009,Ramersdorf - Perlach,140.0
225,2009,Obergiesing - Fasangarten,145.5
226,2009,Untergiesing - Harlaching,186.4
227,2009,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,200.6
228,2009,Hadern,168.9
229,2009,Pasing - Obermenzing,141.3
230,2009,Aubing - Lochhausen - Langwied,157.1
231,2009,Allach - Untermenzing,140.1
232,2009,Feldmoching - Hasenbergl,133.2
233,2009,Laim,196.4
234,2008,Stadt München,148.1
235,2008,Altstadt - Lehel,197.0
236,2008,Ludwigsvorstadt - Isarvorstadt,125.8
237,2008,Maxvorstadt,165.2
238,2008,Schwabing - West,178.2
239,2008,Au - Haidhausen,135.6
240,2008,Sendling,127.6
241,2008,Sendling - Westpark,174.2
242,2008,Schwanthalerhöhe,99.8
243,2008,Neuhausen - Nymphenburg,159.8
244,2008,Moosach,143.1
245,2008,Milbertshofen - Am Hart,120.6
246,2008,Schwabing - Freimann,144.4
247,2008,Bogenhausen,160.0
248,2008,Berg am Laim,147.9
249,2008,Trudering - Riem,86.0
250,2008,Ramersdorf - Perlach,137.0
251,2008,Obergiesing - Fasangarten,150.2
252,2008,Untergiesing - Harlaching,184.8
253,2008,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,198.5
254,2008,Hadern,165.9
255,2008,Pasing - Obermenzing,139.5
256,2008,Aubing - Lochhausen - Langwied,154.3
257,2008,Allach - Untermenzing,139.5
258,2008,Feldmoching - Hasenbergl,133.1
259,2008,Laim,197.3
260,2007,Stadt München,147.0
261,2007,Altstadt - Lehel,196.5
262,2007,Ludwigsvorstadt - Isarvorstadt,129.2
263,2007,Maxvorstadt,162.6
264,2007,Schwabing - West,179.6
265,2007,Au - Haidhausen,137.4
266,2007,Sendling,126.2
267,2007,Sendling - Westpark,168.4
268,2007,Schwanthalerhöhe,104.5
269,2007,Neuhausen - Nymphenburg,160.9
270,2007,Moosach,138.8
271,2007,Milbertshofen - Am Hart,118.3
272,2007,Schwabing - Freimann,140.2
273,2007,Bogenhausen,157.1
274,2007,Berg am Laim,147.6
275,2007,Trudering - Riem,88.3
276,2007,Ramersdorf - Perlach,135.0
277,2007,Obergiesing - Fasangarten,148.7
278,2007,Untergiesing - Harlaching,185.6
279,2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,193.9
280,2007,Hadern,160.6
281,2007,Pasing - Obermenzing,136.9
282,2007,Aubing - Lochhausen - Langwied,151.8
283,2007,Allach - Untermenzing,139.9
284,2007,Feldmoching - Hasenbergl,133.2
285,2007,Laim,195.7
286,2006,Stadt München,146.8
