"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Überalterungsquotient","Ausländer_innen","2017","Stadt München","130.7","44352","33935","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","01 Altstadt - Lehel","187.2","646","345","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","02 Ludwigsvorstadt - Isarvorstadt","183.3","1593","869","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","03 Maxvorstadt","202.4","1178","582","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","04 Schwabing - West","175.2","1689","964","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","05 Au - Haidhausen","219.2","1767","806","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","06 Sendling","183.1","1291","705","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","07 Sendling - Westpark","126.2","1931","1530","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","08 Schwanthalerhöhe","273.9","1367","499","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","09 Neuhausen - Nymphenburg","169.8","2681","1579","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","10 Moosach","122.9","1783","1451","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","11 Milbertshofen - Am Hart","139.6","3054","2187","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","12 Schwabing - Freimann","84.7","1587","1874","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","13 Bogenhausen","102.5","2155","2103","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","14 Berg am Laim","129.3","1549","1198","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","15 Trudering - Riem","71.2","1241","1744","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","16 Ramersdorf - Perlach","127.5","4556","3574","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","17 Obergiesing - Fasangarten","143.7","1783","1241","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","18 Untergiesing - Harlaching","152.8","1426","933","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
"Überalterungsquotient","Ausländer_innen","2017","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","103.4","2582","2497","","","","Anzahl Einwohner ab 65 (Ausländer)","Anzahl Einwohner jünger 15 (Ausländer)","","",""
